,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2004-02-15 19:52:39,0.061804677962791155,0.07444201377020361,0.07739708970164558,0.04416421700278334
2004-02-15 20:02:39,0.05911284730699742,0.07328985790321794,0.07533199863274574,0.043484740465843066
2004-02-15 20:12:39,0.05939796865081303,0.07323082181747155,0.07581429757312369,0.042776795741979595
2004-02-15 20:22:39,0.060978954050490745,0.07303379071243714,0.0760086430001465,0.04422886859709947
2004-02-15 20:32:39,0.06108335367937887,0.07304995361101617,0.07606557937399286,0.044465550075687296
2004-02-15 20:42:39,0.061462131940036135,0.07340651398994091,0.07582626104790274,0.0440615752722301
2004-02-15 20:52:39,0.06013330729039504,0.07329430147956444,0.073827921285219,0.04331627520875043
2004-02-15 21:02:39,0.061264368377362176,0.07311338444259975,0.07496293764343961,0.04350915572049417
2004-02-15 21:12:39,0.06078026270814005,0.07312202744274622,0.0766534010449729,0.04446110649934079
2004-02-15 21:22:39,0.0616467600957078,0.07413560232433224,0.07757527223008936,0.044888519947263054
2004-02-15 21:32:39,0.060710776893403,0.07424884027540407,0.0767284535377704,0.04343117339713854
2004-02-15 21:42:39,0.06045949509253382,0.07307148786561844,0.07812324820547878,0.043074857170760296
2004-02-15 21:52:39,0.059831876556472485,0.07228751403877143,0.07514014356169735,0.04388309976073051
2004-02-15 22:02:39,0.06113384442599736,0.07362556765467064,0.07562825333268226,0.043732750622589
2004-02-15 22:12:39,0.061452268177157085,0.07331075736119928,0.07727931051320866,0.04376527174178427
2004-02-15 22:22:39,0.06109976073050443,0.07463714048537527,0.0770507837296743,0.0436886566726891
2004-02-15 22:32:39,0.06256033009424289,0.07450358904243372,0.07717163924019727,0.044618633722349726
2004-02-15 22:42:39,0.06139044875238049,0.0743972361931735,0.07745622344841058,0.04410273939157186
2004-02-15 22:52:39,0.06197885638947215,0.07371966404609599,0.07619957029151812,0.044268421309634265
2004-02-15 23:02:39,0.06238961863372235,0.07465930953659847,0.07763714048537526,0.044165242443478685
2004-02-15 23:12:39,0.062484740465843056,0.07415742956199034,0.07673021143610528,0.043697104350798384
2004-02-15 23:22:39,0.061558474534889406,0.07454909907710336,0.07646843107573612,0.04400971727135115
2004-02-15 23:32:39,0.061187948630304224,0.07402319449191855,0.07637111187069681,0.04378416914888423
2004-02-15 23:42:39,0.06132272083597832,0.07332511353093413,0.07932423458176668,0.04331617754773183
2004-02-15 23:52:39,0.06416250793495776,0.07446403632989892,0.07792387323599785,0.04451921480541042
2004-02-16 00:02:39,0.06075096440255873,0.0736864104692612,0.07703261878021388,0.04421099663069486
2004-02-16 00:12:39,0.06164304897700084,0.07259441378973583,0.07642570438009669,0.04418936471507399
2004-02-16 00:22:39,0.06091103081205137,0.07355476341618243,0.07708784608623467,0.04440319351530837
2004-02-16 00:32:39,0.06163699399384736,0.07298969676253722,0.07663513843449388,0.04363152497680551
2004-02-16 00:42:39,0.061124273646174135,0.07398574149128376,0.07778016504712143,0.0437527223008936
2004-02-16 00:52:39,0.05952590458518482,0.0731809170369647,0.07712246691732995,0.04303261878021389
2004-02-16 01:02:39,0.061531813076810396,0.07351516187313833,0.07627535524195515,0.04368284584208214
2004-02-16 01:12:39,0.06203916206846037,0.0736200009766102,0.0778234288783632,0.044072464475804485
2004-02-16 01:22:39,0.06009375457786025,0.07307109722154403,0.07626173152985986,0.043243664241418046
2004-02-16 01:32:39,0.061567605840128915,0.07310503442550906,0.07675994921627032,0.044151814053420585
